Nama Usaha;Alamat;Kdkec;Kddesa
PENJUAL PISANG <ROSMAIDA>;LUMBAN SILALAHI;Pangururan;Pintusona
PENJUAL KERUPUK <ROMAIDA>;LUMBAN SILALAHI;Pangururan;Pintusona
JUAL SEMBAKO <ANTONIUS>;JL PUTRI LOPIAN;Pangururan;Pardomuan I
USAHA MENJUAL IKAN ASIN<MENTINA>;HUTA SILALAHI JL FL TOBING;Pangururan;Pardomuan I
WARUNG KELONTONG <MASDI SIMBOLON>;JL PUTRI LOPIAN;Pangururan;Pardomuan I
PENJUAL ANAK BABI <SILALAHI>;HUTA GODANG;Pangururan;Pardomuan I
SERVICE MOBIL BERSATU;JL PUTRI LOPIAN;Pangururan;Pardomuan I
PENJUAL IKAN JAHIR <SITUMORANG>;SIMONONG;Pangururan;Pardomuan I
USAHA DOORSMER <LAMLAM>;JLN FL TOBING;Pangururan;Pardomuan I
AAN SERVICE MOTOR;JL PUTRI LOPIAN;Pangururan;Pardomuan I
ROSSARI COLLECTION;JL DI PANJAITAN pangururan;Pangururan;Pardomuan I
WARUNG SITANGGANG;TAHUAN;Pangururan;Pardomuan I
MENJUAL SATUR MATUR <RUDOLF>;PARDOMUAN I;Pangururan;Pardomuan I
ECERAN SAYUR <JUWITA>;LOS PEKAN INPRES;Pangururan;Pardomuan I
ECERAN SAYUR<TIOLAM>;LOS PEKAN INPRES PANG URURAN;Pangururan;Pardomuan I
JUAL PERABOT <HELENA>;LOS PEKAN INPRES PANG U RURAN;Pangururan;Pardomuan I
KIOS TIKAR <KOLORIA>;KIOS NO 55 - 56 PEKAN INPRES;Pangururan;Pardomuan I
PEDAGANG SAYUR <LISMAWATI>;KIOS NO 166 PEKAN INPRES;Pangururan;Pardomuan I
SIMAMORA KAIN;LOS PEKAN INPRES PANGURURAN;Pangururan;Pardomuan I
JUAL PAKAL AN <SIMAMORA>;LOS PEKAN INPRES PANGURURAN;Pangururan;Pardomuan I
JUAL PERABOT RUMAH <TAGOR>;KIOS PEKAN INPRES NO 92,93;Pangururan;Pardomuan I
TOKO SEPATU <IRPAN>;LOS PEKAN INPRES PANG URURAN;Pangururan;Pardomuan I
PENJUAL PAKAIAN<LASNI>;LOS PEKAN INPRES PANGURURAN;Pangururan;Pardomuan I
JUAL ALAS KAKI <OLOTUA>;LOS PEKAN INPRES PANGURURAN;Pangururan;Pardomuan I
PENJUAL PAKAIAN <SIBU RIAN>;LOS PEKAN INPRES PANGURURAN;Pangururan;Pardomuan I
SELLA GORDEN;KIOS NO 53 - 54 PEKAN INPRES;Pangururan;Pardomuan I
PENJUAL PERABOT <MARNI>;KIOS NO 121-122 PEKAN INPRES PANGURURAN;Pangururan;Pardomuan I
JUAL PECAH BELAH;KIOS NO.94.95 PEKAN INPRES;Pangururan;Pardomuan I
TOKO HORAS;J L.DI.PANDIAITAN;Pangururan;Pardomuan I
PENJUAL ACESORIS <LINDA>;KIOS NO 113 PEKAN INPRES PANGURURAN;Pangururan;Pardomuan I
DAGING SAPI <HANSITTON>;LOS PEKAN INPRES PANG URURAN;Pangururan;Pardomuan I
PENJUAL IKAN ASIN <RONAL>;LOS PEKAN INPRES;Pangururan;Pardomuan I
PENJUAL PAKAIAN<HOTDI>;LOS PEKAN INPRES PANG URURAN;Pangururan;Pardomuan I
PENJUAL TAS <DAME>/ PRABOT;LOS PEKAN INPRES;Pangururan;Pardomuan I
PENJUALTIKAR JULIANA;LOS PEKAN PANGURURAN;Pangururan;Pardomuan I
PENJUAL KELONTONG LIMANUEL >;LOS PEKAN INPRES PANGURURAN;Pangururan;Pardomuan I
YOGI SHOES;JL KOLONEL LIBERTY MALAU;Pangururan;Pardomuan I
TOKO CINDI;JL NAHUM SITUMORANG;Pangururan;Pardomuan I
AGEN BIJI KOPI;TERMINAL PANGURURAN;Pangururan;Pardomuan I
TOKO KELONTONG DEAR;JALAN HADRIAN U S S INAGA;Pangururan;Pardomuan I
WARUNG KELONTONG<DIRMAN>;TER MINAL PANG U R U RAN;Pangururan;Pardomuan I
JUALAN JAJANAN <PIOMARULI>;JL SISINGAMANGARAJA;Pangururan;Pasar Pangururan
PEDAGANG GAS ELPIJI;PASAR PANGURURAN;Pangururan;Pasar Pangururan
USAHA JUAL BELI KEMIRI <MINNARIA>;JL KEJAKSAAN;Pangururan;Pasar Pangururan
TOKO HOTJON;JL SIANJUR MULAMULA PANGURURAN;Pangururan;Pasar Pangururan
KANTIN SEKOLAH HKBP;JL GEREJA;Pangururan;Pasar Pangururan
ECERAN SAYUR MAYUR <LASTRI>;JL SIANJUR MULAMULA;Pangururan;Pasar Pangururan
PRETTI SHOP;JL TANAH LAPANG PANGURURAN;Pangururan;Pasar Pangururan
PENJUAL SEMBAKO KELILING <GUNAWAN> nadeak;SIAHAAN BAGASAN;Pangururan;Pasar Pangururan
BENGKEL SETEL JARI SEPEDA MOTOR <JAGAR>;JL SISINGAMANGARAJA;Pangururan;Pasar Pangururan
WARUNG DANAU TOBA WISATA;JL GEREJA;Pangururan;Pasar Pangururan
BENGKEL MOBIL <ASBIN>;JALAN PUSUK BUHIT;Pangururan;Pasar Pangururan
JUAL SAYURAN K5 <PUNGKA>;DUSUN 2 TANJUNG BUNGA;Pangururan;Tanjung Bunga
WARUNG JAJANAN <MONANGLAN>;TANO PONGGOL;Pangururan;Siogung - Ogung
PENJUAL IKAN <INTALIA>;JALAN TELE SIMANGONDI NG;Pangururan;Siogung - Ogung
PENJUAL SAYURAN <TIORISMA>;PANAHATAN;Pangururan;Siogung - Ogung
JUAL BAJU <HAPFY>;JALAN AEK RANGAT;Pangururan;Siogung - Ogung
PEDAGANG PENGUMPUL <TIOMAS>;JALAN AEK RANGAT HUTAPARIK;Pangururan;Siogung - Ogung
MENGECER BIBIT BAWANG <MARIATI>;SIGUNG OGUNG;Pangururan;Siogung - Ogung
PEDAGANG PENGUMPUL <SANGKOT>;JALAN AEK RANGAT HUTA PARIK;Pangururan;Siogung - Ogung
KARONINA ALL SHOP ONLINE;HARIARA TOLU;Pangururan;Parsaoran I
JUAL SELIMUT DAN BAJU <HELEN>;JALAN BARU HARIARA TOLU;Pangururan;Parsaoran I
WARUNG JAJANAN <NURMA>;SITANGGANG BAU;Pangururan;Parsaoran I
BENEKEL SERVIS <SALIM>;DESA SAIT NIHUTA;Pangururan;Sait Ni Huta
BABI <MARTUNAS>;LUMBAN PINGGOL;Pangururan;Lumban Pinggol
WARUNG KELONTONG <MANGARA>;AEK OUGUL;Pangururan;Aek Nauli
WARUNG SEMBAKO <LABURA>;AE KNAUL I;Pangururan;Aek Nauli
WARUNG KELONTONG <HALOMOAN>;SINABORNO pangururan;Pangururan;Huta Bolon
PEDAGANG KOPI <RELI>;NAGATIMBUL;Pangururan;Parhorasan
WARUNG <MAROLOAN>;LBN PEA;Pangururan;Parhorasan
TOKE KOPI <MARULAM>;DUSUN 3 lumban sinaga;Pangururan;Parbaba Dolok
WARUNG ROKOK <BERLIANA>;SIGARANTUNG;Simanindo;Hutaginjang
WARUNG JAJANAN <NIAN>;KOMPLEK PELABUHAN LOPO;Simanindo;Tomok
DOOR SMEER <DOYOK>;JALAN PERLUASAN TOMOK;Simanindo;Tuk-Tuk Siadong
PENJUAL SAYURAN <SIJABAT>;TOMOK;Simanindo;Tuk-Tuk Siadong
TOKO KELONTONG <SINAGA>;TOMOK;Simanindo;Tuk-Tuk Siadong
TOKO SPAREPART <DAPOT>;JL SITOBU;Simanindo;Tomok Parsaoran
MONANG SOUVENIR SHOP;JL LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
WARUNG JAJANAN <RENITA>;JALAN LINGKAR TUK TUK;Simanindo;Tuk-Tuk Siadong
JUNIOR SOUVENIR SHOP;JALAN LINGKAR TUKTUK;Simanindo;Sihusapi
WARUNG SIDABUTAR <UDIN>;JL LINGKAR TUKTUK SIADONG;Simanindo;Tuk-Tuk Siadong
WARUNG KELONTONG <EVI>;JL LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
IAN SERVICE;JALAN INPRES TUK TUK;Simanindo;Ambarita
SAMUEL SOUVENIR SHOP;JL LINGKAR TUKTUK;Simanindo;Cinta Dame
SHOP ART BENRI;JL LINGKAR TUKTUK;Simanindo;Dosroha
WARUNG SEMBAKO <GABRIEL>;JL LINGKAR TUKTU K;Simanindo;Tuk-Tuk Siadong
PENJUAL IKAN <SIMBOLON>;PASAR TRADISIONAL AMBARITA;Simanindo;Tuk-Tuk Siadong
JUAL MINYAK ECERAN <ITA>;JL RAYA AMBARITA;Simanindo;Tuk-Tuk Siadong
JUAL SEPATU <SITOHANG>;PASAR TRADISIONAL AMBARITA;Simanindo;Simanindo
JUAL ULOS <NAPITU>;PASAR TRADISIONAL AMBARITA;Simanindo;Garoga
PENJUAL IKAN <RENITA>;PASAR TRADISIONAL AMBARITA;Simanindo;Tuk-Tuk Siadong
PEDAGANG KELILING <EZRA>;LUMBAN PARMONANGAN;Simanindo;Tomok Parsaoran
JUAL TIKAR <TIARMAN>;LUMBAN SIDAURUK;Simanindo;Garoga
MENJUAL TIKAR <DOGLAS>;SIGURGUR;Simanindo;Martoba
PEDAGANG KELILING <ERNA>;KOMPLEK SM P N 4;Simanindo;Tomok Parsaoran
JUAL KELONTONG <MANIHURUK>;LUMBAN PASIR;Simanindo;Tomok
KIOS SOUVENIR <DEMIANA>;JL HORAS TOMOK PARSAORAN;Simanindo;Cinta Dame
KIOS SOUVENIR <LINCE>;JL HORAS TOMOK PARSAORAN;Simanindo;Unjur
KIOS SOUVENIR <BERLIANA>;JL TOMOK PARSAORAN <PELABUHAN FERY>;Simanindo;Tuk-Tuk Siadong
KIOS SOUVENIR <ROHANI>;JL PELABUHAN PARIWISATA;Simanindo;Tomok Parsaoran
TOKO PAKAIAN <GINA>;JL HORAS TOMOK PARSAORAN;Simanindo;Tuk-Tuk Siadong
KIOS JAJANAN <KARMIDEN>;JL HORAS TOMOK PARSAORAN;Simanindo;Tomok Parsaoran
KIOS SOUVENIR <LESTI>;JL HORAS TOMOK PARSAORAN;Simanindo;Tuk-Tuk Siadong
JUAL JAJANAN K5 <ARTIA>;JL HORAS TOMOK PARSAORAN;Simanindo;Maduma
KIOS SOUVENIR <HELTI>;JL TOMOK PARSAORAN;Simanindo;Tuk-Tuk Siadong
KIOS SOUVENER <LAMTARIDA>;JL HORAS;Simanindo;Siallagan Pindaraya
AGEN HASIL TANI <ENITA>;DESA UNJUR;Simanindo;Unjur
TOKO SOUVENIR <JUNIAR>;SOUVENIRSHOP KAWASAN WISATA BATU KURSI;Simanindo;Tomok
KIOS SOUVENIR <ODOR>;SOUVENIRSHOP PELABUHAN WISATA;Simanindo;Cinta Dame
KIOS SOUVENIR <MELDA>;SOUVENIRSHOP PELABUHAN WISATA;Simanindo;Ambarita
KIOS SOUVENIR <POSTER>;SOUVENIRSHO KAWASAN WISATA BATU KURSI;Simanindo;Tuk-Tuk Siadong
KIOS SOUVENIR <ARNI>;SOUVENIRSHO PELABUHAN WISATA;Simanindo;Tomok Parsaoran
WARUNG KELONTONG <MARIJO>;JL LINGKAR TUKTUK;Simanindo;Siallagan Pindaraya
TASYA SOUVENIR SHOP;SOUVER SHOP KAWASAN WISATA BATU KURSI;Simanindo;Simarmata
KIOS MINUMAN <BUDIMAN>;SOUVENIRSHOP PELABUHAN WISATA;Simanindo;Tomok Parsaoran
KIOS SOUVENER<RASMI>;HUTA PARHAPURAN;Simanindo;Siallagan Pindaraya
KIOS SOUVENIR <ROMSELINA>;SOUVENIRSHOP PELABUHAN WISATA;Simanindo;Tuk-Tuk Siadong
JUALAN PISANG <BESLINA>;URUNG SITIO;Simanindo;Maduma
JUAL TIKAR <HOTNI>;DESA SIMANINDO;Simanindo;Tomok
PENGEPUL HASIL TANI <GAYUS>;DESA SIMANINDO;Simanindo;Ambarita
JUAL KELONTONG <JAKDIS>;PASAR SIMANINDO;Simanindo;Ambarita
JUAL PAKAIAN <RISMAYA>;PASAR SIMANINDO;Simanindo;Simanindo
JUAL SAYURAN <ANTONIUS>;PASAR SIMANINDO;Simanindo;Tomok Parsaoran
JUAL PAKAIAN <KAMIANNA>;DESA SIMANINDO;Simanindo;Tuk-Tuk Siadong
WARUNG SEMBAKO <JERMAN>;AEK SIPITUDAI DUSUN 1;Sianjur Mulamula;Aek Sipitudai
JUAL BUMBU <ROIDA>;AEK SIPITUDAI DUSUN 1;Sianjur Mulamula;Aek Sipitudai
GROSIR <HOTMARIA>;HUTAGALUNG TPL DUSUN 3;Harian;Hutagalung
JUAL BERAS <ERI>;PASAR NAINGGOLAN;Nainggolan;Nainggolan
PEDAGANG BUAH <LUMINA>;PASAR IMPRES PANGURURAN;Pangururan;Huta Namora
MENJUAL IKAN <JEKSON>;PARLIMUTAN;Pangururan;Pintusona
MONZA SILALAHI;JL RONGGURNIHUTA;Pangururan;Pardomuan I
OPTIK PUTRIKA;JL DI PANJAITAN;Pangururan;Pardomuan I
ALAT TANI NALBAHO;LOS PEKAN INPRES PANGURURAN;Pangururan;Pardomuan I
PAKAIAN JADI <RUGUNSILAEN>;JL SIANJUR MULAMULA;Pangururan;Pasar Pangururan
WARUNG <DUNGGAR>;AEKLAN;Pangururan;Sianting - Anting
PENGUMPUL IKAN <JOY>;DUSUN 2 LUMBAN SINABANG;Pangururan;Lumban Suhi Suhi Toruan
JUAL TIKAR <AGUS>;DES A SIMANINDO;Simanindo;Marlumba
WARUNG SEMBAKO <ANGGIAT>;DUSUN 2 BOHO;Sianjur Mulamula;Boho
WARUNG <SITOR>;TAMBA GODANG;Sitio-tio;Cinta Maju
AKOMODASI ANGKUTAN KAPAL <KARDIMAN>;BAHAL;Sitio-tio;Buntu Mauli
AKOMODASI ANGKUTAN <BUHA>;SOSOR PASIR;Sitio-tio;Sabulan
AKOMODASI ANGKUTAN <PATAR>;PAGAR ONAN;Sitio-tio;Sabulan
TUKANG BECAK SAUT;JL PELABUHAN ONAN RUNGGU;Onan Runggu;Onanrunggu
KAPAL MOTOR LARISMA;SUKKEAN;Onan Runggu;Tambun Sungkean
ANGKUTAN PENUMPANG <ARJUNA>;SIPINGGAN;Nainggolan;Sipinggan
BECAK MOTOR <HOTMAN>;PURMA DOLOK;Nainggolan;Sipinggan
BECAK MOTOR <RIOMAS>;SITOHANG DUSUN I;Palipi;Parsaoran Urat
ANGKUTAN PEDESAAN <BUDIMAN>;PARADUAN;Ronggur Nihuta;Paraduan
PENARIK BECAK <INFIAN>;JALAN RAYA RIANIATE;Pangururan;Huta Namora
BECAK MOTOR <BAIK>;JALAN RAYA RIANIATE;Pangururan;Huta Namora
RENTAL MOBIL <ANGGIAT>;JALAN RAYA RIANIATE;Pangururan;Huta Namora
BECAK MOTOR;NAGA TIMBUL;Pangururan;Pintusona
BECAK MISA;SOSOR SINAGA;Pangururan;Pintusona
SUPIR MOBIL;LUMBAN SILALAHI;Pangururan;Pintusona
BECA MOTOR DIAN;LUMBAN SILALAHI;Pangururan;Pintusona
USAHA BECAK <HENDRI>;JL FL TOBING;Pangururan;Pardomuan I
MENARIK BECAK MOTOR <KONI>;HUTA SILALAHI JLN FL TOBING;Pangururan;Pardomuan I
BECA KELILING;TERMINAL PANGURURAN;Pangururan;Pardomuan I
AKOMODASI DARAT <GAJIAN>;JALAN TELE PINDA;Pangururan;Siogung - Ogung
ANGKUTAN BECAK;SITANGGANG BAU;Pangururan;Parsaoran I
ANGKUTAN BECAK <JISMAN>;HARIARA TOLU;Pangururan;Parsaoran I
ANGKUTAN BECAK <CULES>;SITANGGANG BAU DSN 1;Pangururan;Parsaoran I
ANGKUTAN BECAK <NASIB>;GUSAR;Pangururan;Sait Ni Huta
JASA ANGKUTAN <KALDIN>;SIGURGUR;Simanindo;Simanindo
TUKANG BECAK <MARADI>;DESA SIMANINDO;Simanindo;Tuk-Tuk Siadong
USAHA BECAK MESIN <BELJON>;PARHAPURAN;Pangururan;Pardomuan I
DUMTRUK <HAMONANGAN>;LUMBAN PINGGOL;Pangururan;Lumban Pinggol
RUMAH MAKAN KRINA <DINGOT GALAKSI LIMBONG>;DESA BOHO;Sianjur Mulamula;Boho
KEDAI KOPI <DEMINA>;AEK SIPITUDAI DUSUN 1;Sianjur Mulamula;Aek Sipitudai
JUAL MIE;AEK SIPITUDAI DUSUN 1;Sianjur Mulamula;Aek Sipitudai
KEDAI KOPI<SUDOMO>;AEK SIPITUDAI DUSUN 1;Sianjur Mulamula;Aek Sipitudai
WARUNG KOPI<SANGGAM>;TULAS;Sianjur Mulamula;Siboro
WARUNG KOPI<JALAGA>;SIBORO TULAS;Sianjur Mulamula;Siboro
WARUNG MAKAN <RUSLAN>;TELE DUSUN 2;Harian;Partungko Naginjang
WARUNG MAKAN <TARULI>;TELE DUSUN 2;Harian;Partungko Naginjang
KEDAI TUAK <BERES>;LUMBAN SORGANIMUSU;Harian;Dolok Raja
WARUNG JAJANAN <RINDU>;HUTAGALUNG DUSUN 1;Harian;Hutagalung
WARUNG MAKAN <ROMASI>;HUTAGALUNG TPL DUSUN 3;Harian;Hutagalung
LAPO TUAK DUKSI;LONDUT;Sitio-tio;Tamba Dolok
WARUNG KOPI <REMANJUR>;SIARSAM;Onan Runggu;Harian
WARUNG MINUM MAKAN <JUNI>;ONAN RUNGGU;Onan Runggu;Onanrunggu
PEDAGANG ROTI <ASTUTI>;BANJAR DOLOK;Onan Runggu;Onanrunggu
WARUNG TUAK <SABAM>;PANGARAPUSAN;Onan Runggu;Tambun Sungkean
WARUNG TUAK <JAHARNA>;SITIO TIO DUSUN I;Onan Runggu;Sipira
WARUNG MIE GOMAK <HANNA>;PASARAN I;Nainggolan;Pasaran I
JUAL PECAL<ROSMIDA>;SITUATUA;Nainggolan;Pasaran I
WARUNG KOPI <BUHA>;PANDIANGAN;Nainggolan;Sinaga Uruk Pandiangan
WARUNG KOPI <WILLY>;PELABUHAN NAINGGOLAN;Nainggolan;Nainggolan
MENJUAL MI SOUP <SAMSUDIN SARAGIH>;LOS PASAR NAINGGOLAN;Nainggolan;Nainggolan
CATERING PANGARIBUAN;NAINGGOLAN;Nainggolan;Nainggolan
SEWA RUMAH <SINAGA>;LORONG 3 PARLUASAN;Nainggolan;Siruma Hombar
JUALAN MIE GOMAK<RACHEL>;JALAN PELABUHAN NAINGGOLAN;Nainggolan;Siruma Hombar
WARUNG KOPI <HOTMAN>;SIRUMAHOMBAR;Nainggolan;Siruma Hombar
JUAL BUBUR KACANG IJO bentoni hutabalian <K5>;SIRUMAHOMBAR;Nainggolan;Siruma Hombar
PENGINAPAN MIHAT;PASAR NAINGGOLAN;Nainggolan;Siruma Hombar
RUMAH MAKAN <SAMOSIR>;SIRUMAHOMBAR;Nainggolan;Siruma Hombar
KANTIN <JUNIKI>;SIBANE BANE;Nainggolan;Sipinggan Lumban Siantar
WARUNG TUAK BORISAN;LUMBAN BARAGAS;Nainggolan;Pangaloan
WARUNG KOPI <IWAN>;SIBALANJANG;Nainggolan;Pananggangan II
WARUNG KOPI <DANIEL>;SINAGA URUK URAT 2;Palipi;Urat II
WARUNG KOPI <POLMAR>;URAT II;Palipi;Urat II
KEDAI TUAK JURIS;LUMBAN DAME;Palipi;Palipi
WARUNG KOPI <ISDON>;TARABUNGA;Palipi;Simbolon Purba
WARUNG KOPI <PINO>;SOSOR MARDOMPAK DUS UN 2;Palipi;Simbolon Purba
KEDAI KOPI RISKI;JL KAMENTE  DUSUN 1;Palipi;Sigaol Marbun
KEDAI KOPI <DULSIMAR>;JL. LINTAS SAMOSIR DUSUN 2;Palipi;Sigaol Simbolon
PEDAGANG ES LILIN <MARDAULINA>;SIHUNIK;Palipi;Pamutaran
JUALAN MIE SOP (RIANA);PEKAN MOGANG;Palipi;Pallombuan
KANTIN PAK JUNTAK;KOMPLEK SMK NEGERI I PALIPI;Palipi;Pallombuan
WARUNG KOPI <LESMI>;JL.KANTOR CAMAT;Ronggur Nihuta;Ronggur Ni Huta
KEDAI KOPI <AGUAN>;DESA RIANIATE;Pangururan;Rianiate
PENJUAL MIE <GOLDEN>;SIBIGO;Pangururan;Rianiate
WARUNG KOPI<SAIDIN>;PINTU BATU;Pangururan;Rianiate
WARUNG KOPI <USDEN>;LUMBAN PASIR PINTU BATU;Pangururan;Rianiate
WARUNG JAJANAN <FERA>;AEK RANGAT PINTU BATU;Pangururan;Rianiate
KEDAI NASI <SURIP>;JALAN RAYA RIANIATE;Pangururan;Huta Namora
KEDAI KOPI <PARTAHI>;JALAN RAYA RIANIATE;Pangururan;Huta Namora
MENJUAL BUBUR <SRI>;PARLIMUTAN;Pangururan;Pintusona
GUNA OBOS 3, UD;JALAN DR HADRIANUS SINAGA;Pangururan;Pintusona
PENYEWAAN KAMAR KOS;JL.DR.HADRIANUS SINAGA;Pangururan;Pintusona
KEDAI TUAK <MARUDUT>;SOSOR SIMBOLON;Pangururan;Pintusona
USAHA KOST KOSTAN <SIMBOLON);JL DR HADRIANUS SINAGA;Pangururan;Pintusona
USAHA MENJUAL MIE GORENG;KOMPLEKS GEREJA HKBP;Pangururan;Pintusona
KEDAI TUAK <MARIZEN>;SOSOR HOLANG-HOLANG;Pangururan;Pintusona
KEDAI KOPI <SIMBOLON>;JL RONGGUR NIHUTA;Pangururan;Huta Tinggi
WARUNG NASI <SRI>;JLN FL TOBING;Pangururan;Pardomuan I
KEDAI NASI <FARIDA>;JL PUTRI LOPIAN;Pangururan;Pardomuan I
USAHA KOSTKOSTAN;JL DR FL TOBING;Pangururan;Pardomuan I
KEDAI TUAK SIRAMBUT;JL PUTRI LOPIAN;Pangururan;Pardomuan I
KEDAI KOPI<DORMINTA>;JL RONGGURNIHUTA;Pangururan;Pardomuan I
KEDAI BERMAN;JL D I PANJAITAN;Pangururan;Pardomuan I
JUAL MAKANAN <WAGINEM>;LOS PEKAN INPRES;Pangururan;Pardomuan I
KEDAI NASI <MAGDA>;KIOS NO.32 PEKAN INPRES;Pangururan;Pardomuan I
WARUNG MAKAN <SARMAULI>;KIOS NO 137 PEKAN INPRES PANGURURAN;Pangururan;Pardomuan I
WARUNG MAKAN DAN KEDAI KOPI ESRALINA;JL KOL LIBERTY MALAU;Pangururan;Pardomuan I
KODE NAIBAHO;JL DR HADRIANUS S INAG A;Pangururan;Pardomuan I
WARUNG MAKAN NURIPAH;TERMINAL;Pangururan;Pardomuan I
PEDAGANG GORENGAN;UPAHODA;Pangururan;Pardomuan I
KOST KOSTAN;TERMINAL PANGURURAN;Pangururan;Pardomuan I
WARUNG KOPI <MARLINA>;JL SISINGAMANGARAJA;Pangururan;Pasar Pangururan
WARUNG KOPI <DANI >;JL FL TOBING;Pangururan;Pasar Pangururan
RM PONDOK BAMBU <UNI>;JL PULO SAMOSIR;Pangururan;Pasar Pangururan
ROTI BAKAR <RIAMA>;JALAN SIANJUR MULA MULA;Pangururan;Pasar Pangururan
PENJUAL LONTONG <NURMITA>;JL SIANJUR MULA-MULA PANGURURAN;Pangururan;Pasar Pangururan
WARUNG KOPI <DENI>;JL SIANJUR MULAMULA;Pangururan;Pasar Pangururan
USAHA RUMAH KOST <LUSI>;JL PULO SAMOSIR;Pangururan;Pasar Pangururan
WARUNG NASI GORENG <PESTA>;JL SIANJUR MULAMULA;Pangururan;Pasar Pangururan
WARUNG MIE<MERIANA>;TANAH LAPANG;Pangururan;Pasar Pangururan
SEWA KAMAR KOS <NIUR>;TANAH LAPANG;Pangururan;Pasar Pangururan
SATE PADANG <NASRUL>;JALAN PUSUK BUHIT;Pangururan;Pasar Pangururan
WARUNG KOPI <KODOK>;DUSUN 2 DESA TANJUNG BUNGA;Pangururan;Tanjung Bunga
WARUNG MAKAN MINUM PATRIOT<TIURMAULI>;AEK RANGAT;Pangururan;Siogung - Ogung
WARUNG KOPI <FELIN>;JALAN AEK RANGAT HUTAPARIK;Pangururan;Siogung - Ogung
PENJUAL ESTRIANTI>;JALAN AEK RANGAT;Pangururan;Siogung - Ogung
JUAL CENDOL <TONI>;JALAN SIMANINDO DUSUN 3;Pangururan;Parsaoran I
WARUNG GORENGAN <HENDRA>;SIMPANG EMPAT DUSUN 3;Pangururan;Parsaoran I
PERSEWAAN KAMAR <CAROL>;JALAN SIMANINDO;Pangururan;Parsaoran I
JUAL AYAM PENYET <ARYA>;LUMBAN SILO DUSUN 3;Pangururan;Parsaoran I
KEDAI TUAK <MELATI>;LUMBAN PINGGOL;Pangururan;Lumban Pinggol
WARUNG TUAK <SUMIATI>;JALAN SALAON PANGALUHUT LUHUTAN;Pangururan;Panampangan
WARUNG KOPI DAN TEH <KAROLINA PURBA>;LUMBAN NADEAK DUSUN 2;Pangururan;Sitolu Huta
KONTRAKAN RUMAH<BOSMAN>;BONA BONA DUSUN 2;Pangururan;Siopat Sosor
WARUNG MIE BORPAK;SI MARTUANG HUTA BOLON;Pangururan;Huta Bolon
KEDAI KOPI <BELMAN SIMARMATA>;LUMBAN BOLAK DUSUN 2;Pangururan;Situngkir
KEDAI TUAK <RABENNA>;DISUN 2 SITUNGKIR LONDUT PANGURURAN;Pangururan;Sialanguan
KEDAI TUAK <FRENGKI>;LUMBAN MANIK TORUAN;Pangururan;Lumban Suhi Suhi Toruan
MIE SOP ZULKARNAEN;DUSUN 2 LUMBAN SITOHANG;Pangururan;Lumban Suhi Suhi Toruan
KEDAI KOPI <SAHAT>;DUSUN 3 PARHORASAN;Pangururan;Parbaba Dolok
WARUNG MI SOP <ANATASYA>;DES A PARMONANGAN;Simanindo;Parmonangan
WARUNG KOPI <DELFI>;TOMOK;Simanindo;Tomok
RUMAH MAKAN <ROBEMA>;JALAN BESAR TOMOK;Simanindo;Tuk-Tuk Siadong
WARUNG KOPI <ROSITA>;LUMBAN SIJABAT;Simanindo;Garoga
WARUNG NASI <REMIN>;JL SITOBU;Simanindo;Garoga
AMAN GUEST HOUSE;JLN LINGAKAR TUKTUK PANDAN;Simanindo;Tuk-Tuk Siadong
SAMUEL RESTAURANT;JLN LINGKAR TUKTUK LUMBAN MANURUNG;Simanindo;Cinta Dame
EMMANUEL GUEST HOUSE;JALAN LINGKAR TUK TUK;Simanindo;Tuk-Tuk Siadong
CHINESE RESTAURANT;JL LINGKAR TUKTUK;Simanindo;Tomok
TODAY CAFE;JALAN LINGKAR TUKTUK;Simanindo;Tomok
WARUNG MIESOP <LASTINA>;JALAN LINGKAR TUK TUK;Simanindo;Tuk-Tuk Siadong
COFFEE 2GO;JL LINGKAR TUKTUK;Simanindo;Dosroha
EPY GUEST HOUSE;JLN LINGKAR TUKTUK;Simanindo;Tuk-Tuk Siadong
WARUNG ALOY;JL PELABUHAN AMBARITA;Simanindo;Ambarita
WARUNG KOPI <PURBA>;JLN RAYA AMBARITA;Simanindo;Ambarita
WARUNG KOPI <TIURLAN>;PARTULAAN;Simanindo;Maduma
WARUNG KOPI <ROMAULINA>;SOSOR SIBUTTUON;Simanindo;Simarmata
WARUNG <TABITA>;SIMPANG SOSOR NANGKA;Simanindo;Dosroha
JUAL SATE KELILING <RAMADEN>;TOMOK;Simanindo;Tomok Parsaoran
WARUNG MAKAN <TIURMA>;PELABUHAN FERY TOMOK PARSAORAN>;Simanindo;Tomok Parsaoran
KEDAI KOPI <LASMA>;JL PELABUHAN FERY TOMOK PARSAORAN;Simanindo;Ambarita
JESS FRANS CAFE;JL LINGKAR TUKTUK PINDARAYA;Simanindo;Simanindo
WARUNG MAKAN <DINARTO>;DESA SIMANINDO;Simanindo;Simanindo
WARUNG MAKAN <HERAWATI>;HARIARAPINTU DUSUN 3 PERBATASAN;Harian;Hariara Pintu
WARUNG KOPI <BURTON>;JLN FL TOBING;Pangururan;Pardomuan I
KANTIN SEKOLAH <EMY>;JL USKUP AGUNG SUGIO PRANOTO;Pangururan;Pardomuan I
